"Affiliations","Articles"
"BRAIN AND CONSCIOUSNESS RES CTR","2"
"BRAIN AND LANGUAGE RES INST","2"
"BRAIN CTR SOCIAL AND MOTOR COGNIT","2"
"BROAD INST","2"
"BROAD INST HARVARD","2"
"BROCKTON W ROXBURY VET AFFAIRS MED CTR","2"
"BRON","2"
"BUSCHMAN","2"
"CALIF POLYTECH STATE UNIV SAN LUIS OBISPO","2"
"CALIF STATE UNIV FULLERTON","2"
"CALIF STATE UNIV HAYWARD","2"
"CALVIN COLL","2"
"CAMPBELL FAMILY MENTAL HLTH RES INST","2"
"CARLETON UNIV","2"
"CAS CTR EXCELLENCE BRAIN SCI AND INTELLIGENCE TECHN","2"
"CATALAN INST ADV STUDIES AND RES ICREA","2"
"CD (CORRESPONDING AUTHOR)","2"
"CEA SAC DSV DRM NEUROSPIN CTR","2"
"CHIBA UNIV","2"
"CHILD PSYCHIAT DEPT","2"
"CNR INST NEUROSCI","2"
"CNRS UPS","2"
"COGNIT AND INFORMAT SCI UNIV CALIF","2"
"COGNIT NEUROSCI AND SCHIZOPHRENIA PROGRAM","2"
"COMP SCI AND ARTIFICIAL INTELLIGENCE LAB","2"
"COMPUTAT AND ANIM LEARNING RES CTR","2"
"COMPUTAT AND INFORMAT SCI DIRECTORATE","2"
"COMPUTAT NEUROSCI UNIT UNIC","2"
"CONNECTICUT COLL","2"
"CTR BEHAV BRAIN SCI MAGDEBURG","2"
"CTR BIOL AND COMPUTAT LEARNING","2"
"CTR BRAINS MINDS AND MACHINES","2"
"CTR CHILD AND FAMILY WELL BEING","2"
"CTR COGNIT NEUROIMAGING","2"
"CTR COGNIT NEUROSCI","2"
"CTR COGNIT SCI","2"
"CTR DEV LANGUAGE DISORDERS AND COGNIT NEUROSCI","2"
"CTR ECON LEARNING SOCIAL EVOLUT","2"
"CTR EDUC NEUROSCI","2"
"CTR MATH AND PHYS LIFE SCI AND EXPT BIOL COMPLEX","2"
"CTR NEURAL BASIS COGNIT","2"
"CTR NEUROSCI AND COGNIT SYST","2"
"CTR OPHTHALM RES","2"
"CTR TRANSLAT NEUROIMAGING","2"
"CTR TRANSLAT NEUROPHYSIOL","2"
"D (CORRESPONDING AUTHOR)","2"
"DEPT COGNIT SCI","2"
"DEPT COMP SCI AND ENGN","2"
"DEPT HUMAN COMMUN SCI","2"
"DEPT HUMANITIES AND SOCIAL SCI","2"
"DEPT HUMANITIES AND SOCIAL SCI AND COMPUTAT","2"
"DEPT LIFE SCI","2"
"DEPT NEUROL AND NEUROL SCI","2"
"DEPT NEUROSCI CLIN","2"
"DEPT SCI AND TECHNOL SOC","2"
"DM (CORRESPONDING AUTHOR)","2"
"DONDERS CTR COGNIT NEUROIMAGING","2"
"DONDERS INST BRAIN COGNIT AND BEHAV","2"
"DUKE NUS GRAD MED SCH","2"
"DYSLEXIA CTR","2"
"EASTERN KENTUCKY UNIV","2"
"EDGE HILL UNIV","2"
"EIDGENOSS TECH HSCH ETH ZURICH","2"
"EINSTEIN CTR NEUROSCI BERLIN","2"
"ELSEVIER SCI","2"
"EM (CORRESPONDING AUTHOR)","2"
"EMIRATES COLL ADV EDUC","2"
"ERNST STRUNGMANN INST ESI NEUROSCI COOPERAT","2"
"ESRC CTR ECON LEARNING AND SOCIAL EVOLUT ELSE","2"
"EUNICE KENNEDY SHRIVER NATL INST CHILD HLTH AND HUM","2"
"EXPT PSYCHOL LAB","2"
"FC DONDERS CTR COGNIT NEUROIMAGING","2"
"FIRESTONE","2"
"FUJIAN AGR AND FORESTRY UNIV","2"
"GENEVA UNIV HOSP","2"
"GLASGOW CALEDONIAN UNIV","2"
"GRAZ UNIV TECHNOL","2"
"HADASSAH HEBREW UNIV","2"
"HAMRAHLID COLL","2"
"HANGZHOU NORMAL UNIV","2"
"HEBREW UNIV","2"
"HERSHEY MED CTR","2"
"HLTH AND MED UNIV","2"
"HOSP SICK CHILDREN","2"
"HUMAN INFORMAT PROC RES LABS","2"
"HUMANITIES AND SOCIAL SCI","2"
"I (CORRESPONDING AUTHOR)","2"
"IFD","2"
"IMIND CTR EXCELLENCE AUTISM","2"
"IMPERIAL COLL","2"
"INST ADV STUDY","2"
"INST ADV STUDY TOULOUSE","2"
"INST CERVEAU AND MOELLE EPINIERE","2"
"INST COGNIT","2"
"INST COGNIT SCI","2"
"INST COGNIT SCI MARC JEANNEROD","2"
"INST COMMUNITY AND FAMILY PSYCHIAT","2"
"INST EUROPEAN AND AMER STUDIES","2"
"INST LANGUAGE COMMUN AND BRAIN","2"
"INST LAW","2"
"INST MED ENGN AND SCI","2"
"INST MENTAL HLTH RES","2"
"INST NEUROSCI AND MED","2"
"INST NICOD","2"
"INST PEDIAT NEUROSCI","2"
"INST PHYS AND CHEM RES","2"
"INST PHYSIOL AND COGNIT NEUROSCI LANGUAGE AND MUS GRP","2"
"INST PRIMATE RES","2"
"INST PSYCHOL RES","2"
"INST SCI","2"
"INST UNIV FRANCE","2"
"IP PAVLOV INST PHYSIOL","2"
"ITALIAN INST TECHNOL","2"
"JAGIELLONIAN UNIV","2"
"JD (CORRESPONDING AUTHOR)","2"
"JE (CORRESPONDING AUTHOR)","2"
"JEAN NICOD INST","2"
"JOHN B PIERCE LAB","2"
"JOHNS HOPKINS MED INST","2"
"JR (CORRESPONDING AUTHOR)","2"
"JT (CORRESPONDING AUTHOR)","2"
"KA (CORRESPONDING AUTHOR)","2"
"KECK SCH MED","2"
"KEELE UNIV","2"
"KEIO UNIV","2"
"KING ALFREDS COLL","2"
"LAB SENSORIMOTOR RES","2"
"LANGONE MED CTR","2"
"LEIBNIZ INST FRESHWATER ECOL AND INLAND FISHERIES","2"
"LEIBNIZ INST PRIMATE RES","2"
"LIVERPOOL JOHN MOORES UNIV","2"
"LONDON METROPOLITAN UNIV","2"
"LUND UNIV COGNIT SCI","2"
"LY (CORRESPONDING AUTHOR)","2"
"MARCUS AUTISM CTR","2"
"MAX PLANCK INST BRAIN RES MPIB","2"
"MAX PLANCK INST COGNIT NEUROSCI","2"
"MAX PLANCK INST HIRNFORSCH","2"
"MAX PLANCK INST NEUROL RES","2"
"MAX PLANCK INST PSYCHOL RES","2"
"MAX PLANCK UNIV COLL LONDON UCL","2"
"MED RES COUNCIL COGNIT AND BRAIN SCI UNIT","2"
"MEM UNIV NEWFOUNDLAND","2"
"MIAMI UNIV","2"
"MIND RES NETWORK","2"
"MINERVA SCH KGI","2"
"MIT MEDIA LAB","2"
