paperId,citationCount,influentialCitationCount,doi,authorId,name,paperCount,citationCount,hIndex
46b3bbe2b95d44bd1fc7917567a9a1792bc71c4b,185,4,10.1016/j.tics.2012.05.001,2166386783,Yi-Yuan Tang,146.0,8232.0,35.0
46b3bbe2b95d44bd1fc7917567a9a1792bc71c4b,185,4,10.1016/j.tics.2012.05.001,4597920,M. Rothbart,236.0,39235.0,89.0
46b3bbe2b95d44bd1fc7917567a9a1792bc71c4b,185,4,10.1016/j.tics.2012.05.001,2262729,M. Posner,484.0,103738.0,136.0
7d5ec8ae352540ac5726967e59a0a3ed3eed9407,5,0,10.1016/j.tics.2012.02.005,5344072,J. Starns,75.0,2059.0,23.0
7d5ec8ae352540ac5726967e59a0a3ed3eed9407,5,0,10.1016/j.tics.2012.02.005,145671619,R. Ratcliff,290.0,37793.0,95.0
7d5ec8ae352540ac5726967e59a0a3ed3eed9407,5,0,10.1016/j.tics.2012.02.005,1866989,G. McKoon,155.0,16117.0,65.0
2c66fe5fa50bb5d268a42dc03e488327c5b88462,16,1,10.1016/j.tics.2011.11.011,2200029,T. Maia,51.0,4027.0,26.0
2c66fe5fa50bb5d268a42dc03e488327c5b88462,16,1,10.1016/j.tics.2011.11.011,1701656,James L. McClelland,422.0,77836.0,99.0
e01dbde32abff73a0d118cdcce9ef4880a2a9ca0,61,7,10.1016/j.tics.2011.07.009,48425525,L. Bevilacqua,27.0,916.0,13.0
e01dbde32abff73a0d118cdcce9ef4880a2a9ca0,61,7,10.1016/j.tics.2011.07.009,144059425,D. Goldman,605.0,43113.0,110.0
520262d3c8788c951124813567827e169394703d,324,21,10.1016/j.tics.2010.07.005,11591442,M. Hines,139.0,11571.0,57.0
c9105564eecfb44a37259258507d4eb5c662eab6,348,13,10.1016/j.tics.2010.06.002,1701656,James L. McClelland,422.0,77836.0,99.0
c9105564eecfb44a37259258507d4eb5c662eab6,348,13,10.1016/j.tics.2010.06.002,46378362,M. Botvinick,232.0,50325.0,81.0
c9105564eecfb44a37259258507d4eb5c662eab6,348,13,10.1016/j.tics.2010.06.002,145042542,D. Noelle,96.0,1642.0,14.0
c9105564eecfb44a37259258507d4eb5c662eab6,348,13,10.1016/j.tics.2010.06.002,2546518,D. Plaut,196.0,13210.0,52.0
c9105564eecfb44a37259258507d4eb5c662eab6,348,13,10.1016/j.tics.2010.06.002,2836466,Linda B. Smith,408.0,21425.0,77.0
802b51c6b23970436e4b5f4d5147d341b189578d,272,8,10.1016/j.tics.2009.11.005,1698275,P. Roelfsema,245.0,15960.0,58.0
802b51c6b23970436e4b5f4d5147d341b189578d,272,8,10.1016/j.tics.2009.11.005,2445715,A. V. Ooyen,85.0,3049.0,26.0
802b51c6b23970436e4b5f4d5147d341b189578d,272,8,10.1016/j.tics.2009.11.005,2110691445,Takeo Watanabe,289.0,7318.0,45.0
